,Address,Lat,Long,Zipcode
84,"6400 BUENA VENTURA AV, Oakland, CA",37.7768916,-122.1763114,94605
85,"600 E 18TH ST, Oakland, CA",37.79765099999999,-122.2493003,94606
86,"2300 38TH AV, Oakland, CA",37.783201,-122.210409,94601
87,"900 BAYVIEW AV, Oakland, CA",37.8015128,-122.2380568,94610
88,"3100 98TH AV, Oakland, CA",37.7527027,-122.1533738,94605
89,"800 HARRISON ST, Oakland, CA",37.7989478,-122.2697639,94607
90,"9800 BURR ST, Oakland, CA",37.751767,-122.1564428,94605
91,"6800 MACARTHUR BLVD, Oakland, CA",37.7713305,-122.1760906,94605
92,"4700 OAKPORT ST, Oakland, CA",37.7650329,-122.2183635,94601
93,"1900 5TH AV, Oakland, CA",37.799057,-122.2491866,94606
94,"MARKET ST & SAN PABLO AV, Oakland, CA",37.8206397,-122.2764604,94608
95,"500 17TH ST, Oakland, CA",37.8068334,-122.2702766,94612
96,"5400 BROOKDALE AV, Oakland, CA",37.7751306,-122.1960445,94619
97,"1200 37TH AV, Oakland, CA",37.7741815,-122.2216609,94601
98,"3800 MACARTHUR BLVD, Oakland, CA",37.7917849,-122.1988363,94619
99,"800 77TH AV, Oakland, CA",37.7512714,-122.1932734,94621
100,"1500 POPLAR ST, Oakland, CA",37.811438,-122.2888632,94607
101,"9800 PLYMOUTH ST, Oakland, CA",37.7459069,-122.1672278,94603
102,"1000 E 17TH ST, Oakland, CA",37.7939816,-122.2468357,94606
103,"6500 EASTLAWN ST, Oakland, CA",37.7610013,-122.1972343,94621
104,"9800 MACARTHUR BLVD, Oakland, CA",37.749632,-122.158304,94605
105,"E 10 ST, Oakland, CA",37.7791234,-122.2362629,94601
106,"1400 WOOD ST, Oakland, CA",37.8133069,-122.2977927,94607
107,"2500 84TH AVE MACARTHUR BOUL, Oakland, CA",37.78268449999999,-122.1878385,94613
108,"100 WEBSTER ST, Oakland, CA",37.7945568,-122.2739401,94607
109,"2200 CAMPBELL ST, Oakland, CA",37.81750299999999,-122.2908657,94607
110,"1300 89TH AV, Oakland, CA",37.7496821,-122.1768164,94621
111,"2200 DURANT AV, Oakland, CA",37.7380546,-122.1587375,94603
112,"SKYLINE DR, Oakland, CA",37.7984936,-122.1660684,94619
113,"500 MARKET ST, Oakland, CA",37.8013729,-122.2832571,94607
114,"1300 20TH AV, Oakland, CA",37.785589,-122.2399653,94606
115,"7000 E MACARTHUR BLVD BOULEV, Oakland, CA",,,
116,"5400 HOLLAND ST, Oakland, CA",37.7690168,-122.2046761,94601
117,"2200 108TH AV, Oakland, CA",37.7403116,-122.1559667,94603
118,"300 HANOVER AVE, Oakland, CA",37.80269699999999,-122.2521099,94606
119,"7000 THORNHILL DR, Oakland, CA",37.8389399,-122.2040694,94611
120,"500 W GRAND AV, Oakland, CA",37.8119373,-122.2689798,94612
121,"1000 SUNNYHILLS RD, Oakland, CA",37.8098179,-122.2299133,94610
122,"500 37TH ST, Oakland, CA",37.82566509999999,-122.265415,94609
123,"800 MOORPARK AV, Oakland, CA",37.7320402,-122.1735628,94603
124,"SAN PABLO AVE, Oakland, CA",37.84564659999999,-122.284645,94608
125,"70TH AV & INTERNATIONAL BLVD, Oakland, CA",37.7603439,-122.1894521,94621
126,"1200 79TH AVE AVE, Oakland, CA",37.7549737,-122.1857133,94621
127,"600 WESLEY AV, Oakland, CA",37.806531,-122.246404,94610
128,"200 WHITMORE, Oakland, CA",37.832959,-122.2508769,94611
129,"700 CHESTER ST, Oakland, CA",37.8056304,-122.2959958,94607
130,"5400 TELEGRAPH AVE, Oakland, CA",37.8393,-122.2618276,94609
131,"3900 SAN JUAN ST, Oakland, CA",37.779187,-122.214988,94601
132,"CAMPBELL ST & MANDELA PKWY, Oakland, CA",37.819285,-122.2893679,94607
133,"1400 26TH ST, Oakland, CA",37.8197512,-122.287289,94607
134,"17TH AV & E 20TH ST, Oakland, CA",37.7918949,-122.239181,94606
135,"3600 TELEGRAPH AV, Oakland, CA",37.8247979,-122.2653001,94609
136,"66TH AV & AVENAL AV, Oakland, CA",37.7663796,-122.1879579,94605
137,"1400 WEST ST, Oakland, CA",37.8076094,-122.2794848,94612
138,"3500 INTERNATIONAL BLVD, Oakland, CA",37.776168,-122.2226893,94601
139,"THOMAS L. BERKLEY/FRANKLIN ST, Oakland, CA",37.808793,-122.267307,94612
140,"2800 21ST AV, Oakland, CA",37.7951454,-122.2281182,94606
141,"4200 HOWE ST, Oakland, CA",37.8283391,-122.2514948,94611
142,"7600 OUTLOOK AV, Oakland, CA",37.769395,-122.16761,94605
143,"8300 EDES AV, Oakland, CA",37.7441243,-122.1952082,94621
144,"10600 PEARMAIN ST, Oakland, CA",37.7340275,-122.1757358,94603
145,"300 HENRY ST, Oakland, CA",37.8031433,-122.2980124,94607
146,"5800 ESTATES DR, Oakland, CA",37.8328768,-122.2186201,94611
147,"1000 E 8TH ST, Oakland, CA",37.7902789,-122.2522037,94606
148,"TELEGRAPH AV & BROADWAY, Oakland, CA",37.805315,-122.2705509,94612
149,"1600 86TH AV, Oakland, CA",37.7535329,-122.1748932,94621
150,"1400 JEFFERSON ST, Oakland, CA",37.8057495,-122.274772,94612
