,CrimeType,DateTime,CaseNumber,Description,PoliceBeat,Address,City,State,Lat,Long,Zip,ind_poverty_pct,ind_poverty_moe,family_poverty_pct,family_poverty_moe
644,BURGLARY,2018-03-06 18:00:00,18-903798,BURGLARY-FORCIBLE ENTRY,03Y,1300 JEFFERSON ST,Oakland,CA,37.8050602,-122.2752043,94612,28.5,3.1,15.4,4.7
645,THEFT/LARCENY,2018-03-06 16:50:00,18-903803,GRAND THEFT,04X,1900 BROADWAY,Oakland,CA,37.808072,-122.2688448,94612,28.5,3.1,15.4,4.7
646,THEFT/LARCENY,2018-03-07 07:55:00,18-903804,BURGLARY-AUTO,03Y,1200 CLAY ST,Oakland,CA,37.8041164,-122.2739844,94612,28.5,3.1,15.4,4.7
647,THEFT/LARCENY,2018-02-10 20:50:00,18-902762,BURGLARY-AUTO,04X,1900 FRANKLIN ST,Oakland,CA,37.8073796,-122.2676201,94612,28.5,3.1,15.4,4.7
648,THEFT/LARCENY,2018-02-14 19:30:00,18-902899,GRAND THEFT,08X,2300 BROADWAY,Oakland,CA,37.8122473,-122.2657875,94612,28.5,3.1,15.4,4.7
649,THEFT/LARCENY,2018-02-15 22:30:00,18-903121,BURGLARY-AUTO,08X,300 24TH ST,Oakland,CA,37.81316899999999,-122.262829,94612,28.5,3.1,15.4,4.7
650,ASSAULT,2018-03-01 14:16:00,18-000469,BATTERY,06X,700 SYCAMORE ST,Oakland,CA,37.8161142,-122.2732976,94612,28.5,3.1,15.4,4.7
651,THEFT/LARCENY,2018-02-15 23:00:00,18-902908,BURGLARY-AUTO,08X,2400 NORTHGATE AV,Oakland,CA,37.813801,-122.2704773,94612,28.5,3.1,15.4,4.7
652,THEFT/LARCENY,2018-02-15 22:00:00,18-902914,BURGLARY-AUTO,04X,2100 BROADWAY,Oakland,CA,37.810121,-122.26731,94612,28.5,3.1,15.4,4.7
653,THEFT/LARCENY,2018-01-18 18:35:00,18-901823,BURGLARY-AUTO,08X,300 26TH ST,Oakland,CA,37.8146224,-122.2633795,94612,28.5,3.1,15.4,4.7
654,VANDALISM,2018-02-10 22:00:00,18-902792,VANDALISM,08X,2700 BROADWAY,Oakland,CA,37.8156724,-122.2640415,94612,28.5,3.1,15.4,4.7
655,VANDALISM,2018-02-15 22:00:00,18-902919,VANDALISM,04X,2000 WEBSTER ST,Oakland,CA,37.8084841,-122.2660719,94612,28.5,3.1,15.4,4.7
656,VANDALISM,2018-02-15 19:50:00,18-902921,VANDALISM,04X,1600 BROADWAY,Oakland,CA,37.8060369,-122.2697752,94612,28.5,3.1,15.4,4.7
657,THEFT/LARCENY,2018-02-11 02:00:00,18-902798,BURGLARY-AUTO,03X,1200 FRANKLIN ST,Oakland,CA,37.8024773,-122.2708269,94612,28.5,3.1,15.4,4.7
658,THEFT/LARCENY,2018-02-10 00:00:00,18-902805,BURGLARY-AUTO,04X,1900 WEBSTER ST,Oakland,CA,37.8069464,-122.2663344,94612,28.5,3.1,15.4,4.7
659,THEFT/LARCENY,2018-02-11 12:30:00,18-902820,GRAND THEFT,04X,1900 BROADWAY,Oakland,CA,37.808072,-122.2688448,94612,28.5,3.1,15.4,4.7
660,THEFT/LARCENY,2018-02-09 22:00:00,18-902835,BURGLARY-AUTO,04X,1900 WEBSTER ST,Oakland,CA,37.8069464,-122.2663344,94612,28.5,3.1,15.4,4.7
661,THEFT/LARCENY,2018-02-14 17:30:00,18-902940,GRAND THEFT,03Y,1200 CLAY ST,Oakland,CA,37.8041164,-122.2739844,94612,28.5,3.1,15.4,4.7
662,THEFT/LARCENY,2018-02-09 23:00:00,18-903171,BURGLARY-AUTO,77X,NORTHGATE AVE,Oakland,CA,37.8166671,-122.2697753,94612,28.5,3.1,15.4,4.7
663,THEFT/LARCENY,2018-02-18 17:00:00,18-008834,BURGLARY-AUTO,03Y,1200 CLAY ST,Oakland,CA,37.8041164,-122.2739844,94612,28.5,3.1,15.4,4.7
664,THEFT/LARCENY,2018-02-11 23:48:00,18-903040,THEFT,03Y,1200 CLAY ST,Oakland,CA,37.8041164,-122.2739844,94612,28.5,3.1,15.4,4.7
665,THEFT/LARCENY,2018-02-12 19:30:00,18-902836,BURGLARY-AUTO,08X,400 W GRAND AV,Oakland,CA,37.8115344,-122.2667471,94612,28.5,3.1,15.4,4.7
666,THEFT/LARCENY,2018-02-12 23:00:00,18-902838,BURGLARY-AUTO,04X,1700 SAN PABLO AV,Oakland,CA,37.80713710000001,-122.2721269,94612,28.5,3.1,15.4,4.7
667,THEFT/LARCENY,2018-02-12 18:25:00,18-902840,BURGLARY-AUTO,04X,400 19TH ST,Oakland,CA,37.8073308,-122.2678099,94612,28.5,3.1,15.4,4.7
668,THEFT/LARCENY,2018-02-12 18:00:00,18-902841,BURGLARY-AUTO,04X,1900 FRANKLIN ST,Oakland,CA,37.8073796,-122.2676201,94612,28.5,3.1,15.4,4.7
669,THEFT/LARCENY,2018-02-13 21:00:00,18-902947,THEFT,08X,500 23RD ST,Oakland,CA,37.8126097,-122.2688144,94612,28.5,3.1,15.4,4.7
670,VANDALISM,2018-03-15 13:15:00,18-013405,VANDALISM,16X,3200 LAKESHORE AV,Oakland,CA,37.8100554,-122.2454436,94610,7.4,1.4,4.7,1.7
671,BURGLARY,2018-03-15 00:00:00,18-013519,BURGLARY-FORCIBLE ENTRY,14X,600 GRAND AV,Oakland,CA,37.809648,-122.24968,94610,7.4,1.4,4.7,1.7
672,THEFT/LARCENY,2019-04-14 11:00:00,14-019401,BURGLARY-AUTO,12X,300 ORANGE ST,Oakland,CA,37.8159334,-122.2567724,94610,7.4,1.4,4.7,1.7
673,DISTURBING THE PEACE,2018-03-15 11:11:00,18-013342,DISTURB THE PEACE,15X,2800 LAKESHORE AV,Oakland,CA,37.8079826,-122.2489709,94610,7.4,1.4,4.7,1.7
674,THEFT/LARCENY,2018-01-12 19:00:00,18-901707,THEFT,14Y,800 ERIE ST,Oakland,CA,37.8124005,-122.2427073,94610,7.4,1.4,4.7,1.7
675,THEFT/LARCENY,2018-01-15 20:00:00,18-901712,BURGLARY-AUTO,14X,400 LAGUNITAS AV,Oakland,CA,37.8100113,-122.251231,94610,7.4,1.4,4.7,1.7
676,THEFT/LARCENY,2018-01-06 14:30:00,18-901088,BURGLARY-AUTO,14X,700 GRAND AV,Oakland,CA,37.8109048,-122.2458688,94610,7.4,1.4,4.7,1.7
677,THEFT/LARCENY,2018-01-06 08:00:00,18-901092,THEFT,14X,200 VERNON ST,Oakland,CA,37.81363839999999,-122.2588416,94610,7.4,1.4,4.7,1.7
678,THEFT/LARCENY,2018-01-05 13:00:00,18-901094,BURGLARY-AUTO,14X,500 GRAND AV,Oakland,CA,37.808883,-122.251346,94610,7.4,1.4,4.7,1.7
679,THEFT/LARCENY,2018-01-06 11:40:00,18-901107,BURGLARY-AUTO,15X,500 MERRITT AV,Oakland,CA,37.8070896,-122.2479271,94610,7.4,1.4,4.7,1.7
680,THEFT/LARCENY,2018-01-17 23:00:00,18-901761,BURGLARY-AUTO,14X,300 MACARTHUR BLVD,Oakland,CA,37.8145724,-122.2515947,94610,7.4,1.4,4.7,1.7
681,ASSAULT,2018-03-10 17:36:00,18-012530,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,14X,100 ORANGE ST,Oakland,CA,37.8150177,-122.2589888,94610,7.4,1.4,4.7,1.7
682,THEFT/LARCENY,2018-03-03 11:55:00,18-903639,BURGLARY-AUTO,14Y,400 LAKE PARK AV,Oakland,CA,37.8114455,-122.2478739,94610,7.4,1.4,4.7,1.7
683,VANDALISM,2018-03-05 08:15:00,18-903757,VANDALISM,15X,500 MERRITT AV,Oakland,CA,37.8070896,-122.2479271,94610,7.4,1.4,4.7,1.7
684,THEFT/LARCENY,2018-03-05 07:30:00,18-903758,BURGLARY-AUTO,16X,3200 LAKESHORE AV,Oakland,CA,37.8100554,-122.2454436,94610,7.4,1.4,4.7,1.7
685,THEFT/LARCENY,2018-03-06 18:30:00,18-903764,BURGLARY-AUTO,16X,3200 LAKESHORE AV,Oakland,CA,37.8100554,-122.2454436,94610,7.4,1.4,4.7,1.7
686,THEFT/LARCENY,2018-03-01 09:10:00,18-903644,GRAND THEFT,14Y,3300 LAKESHORE AV,Oakland,CA,37.8104932,-122.2439852,94610,7.4,1.4,4.7,1.7
687,THEFT/LARCENY,2018-03-02 22:30:00,18-903649,BURGLARY-AUTO,77X,MANDANA BLVD,Oakland,CA,37.8112936,-122.2343498,94610,7.4,1.4,4.7,1.7
688,VANDALISM,2018-03-04 11:25:00,18-903708,VANDALISM,17Y,3200 PARK BLVD,Oakland,CA,37.8029645,-122.2362515,94610,7.4,1.4,4.7,1.7
689,THEFT/LARCENY,2018-02-27 19:30:00,18-903491,GRAND THEFT,77X,STATEN AVE,Oakland,CA,37.8101033,-122.2536618,94610,7.4,1.4,4.7,1.7
690,VANDALISM,2018-02-28 20:00:00,18-903578,VANDALISM,77X,WALKER AVE,Oakland,CA,37.8147268,-122.2450357,94610,7.4,1.4,4.7,1.7
691,BURGLARY,2018-02-27 07:15:00,18-903441,BURGLARY-FORCIBLE ENTRY,14Y,800 ERIE ST,Oakland,CA,37.8124005,-122.2427073,94610,7.4,1.4,4.7,1.7
692,THEFT/LARCENY,2018-03-16 07:12:00,18-013536,THEFT,14X,400 GRAND AV,Oakland,CA,37.8087767,-122.2538152,94610,7.4,1.4,4.7,1.7
693,THEFT/LARCENY,2018-01-07 18:30:00,18-901179,THEFT,14X,00 VERNON ST,Oakland,CA,37.8123854,-122.2608606,94610,7.4,1.4,4.7,1.7
694,VANDALISM,2018-01-08 00:00:00,18-901193,VANDALISM,14X,300 MACARTHUR BLVD,Oakland,CA,37.8145724,-122.2515947,94610,7.4,1.4,4.7,1.7
695,THEFT/LARCENY,2018-01-05 17:00:00,18-901113,BURGLARY-AUTO,77X,BELLEVUE AVE,Oakland,CA,37.8075857,-122.2556819,94610,7.4,1.4,4.7,1.7
696,VANDALISM,2018-01-05 22:35:00,18-901125,VANDALISM,14Y,3500 GRAND AV,Oakland,CA,37.81419810000001,-122.245758,94610,7.4,1.4,4.7,1.7
697,THEFT/LARCENY,2018-01-19 22:00:00,18-901811,BURGLARY-AUTO,14Y,700 WALKER AV,Oakland,CA,37.8114778,-122.246939,94610,7.4,1.4,4.7,1.7
698,THEFT/LARCENY,2018-01-19 13:30:00,18-901822,BURGLARY-AUTO,14X,500 GRAND AV,Oakland,CA,37.808883,-122.251346,94610,7.4,1.4,4.7,1.7
699,THEFT/LARCENY,2018-01-21 16:40:00,18-901829,THEFT,16X,3200 LAKESHORE AV,Oakland,CA,37.8100554,-122.2454436,94610,7.4,1.4,4.7,1.7
700,THEFT/LARCENY,2018-01-20 19:00:00,18-901838,BURGLARY-AUTO,14X,400 STATEN AV,Oakland,CA,37.810526,-122.2536179,94610,7.4,1.4,4.7,1.7
701,THEFT/LARCENY,2018-01-20 19:30:00,18-901848,GRAND THEFT,16X,3200 LAKESHORE AV,Oakland,CA,37.8100554,-122.2454436,94610,7.4,1.4,4.7,1.7
702,THEFT/LARCENY,2018-02-24 23:20:00,18-903810,THEFT,14X,400 LAGUNITAS AV,Oakland,CA,37.8100113,-122.251231,94610,7.4,1.4,4.7,1.7
703,THEFT/LARCENY,2018-03-05 19:00:00,18-903823,BURGLARY-AUTO,14Y,3200 GRAND AV,Oakland,CA,37.8115501,-122.2473534,94610,7.4,1.4,4.7,1.7
704,VANDALISM,2018-03-05 16:35:00,18-903849,VANDALISM,15X,3000 LAKESHORE AV,Oakland,CA,37.808868,-122.2473534,94610,7.4,1.4,4.7,1.7
705,THEFT/LARCENY,2018-02-25 16:00:00,18-903880,GRAND THEFT,14X,200 LENOX AV,Oakland,CA,37.81239559999999,-122.258415,94610,7.4,1.4,4.7,1.7
706,THEFT/LARCENY,2018-03-04 02:00:00,18-903896,BURGLARY-AUTO,14Y,600 CHETWOOD ST,Oakland,CA,37.8183395,-122.2487299,94610,7.4,1.4,4.7,1.7
707,VANDALISM,2018-03-06 21:00:00,18-903791,VANDALISM,14X,300 MACARTHUR BLVD,Oakland,CA,37.8145724,-122.2515947,94610,7.4,1.4,4.7,1.7
708,THEFT/LARCENY,2018-02-10 21:00:00,18-902760,THEFT,14Y,500 VERNON ST,Oakland,CA,37.8174626,-122.2501896,94610,7.4,1.4,4.7,1.7
709,THEFT/LARCENY,2018-02-16 00:05:00,18-008372,BURGLARY-AUTO,14Y,00 MOSS AV,Oakland,CA,37.8181263,-122.250512,94610,7.4,1.4,4.7,1.7
710,ASSAULT,2018-02-18 15:30:00,18-008794,BATTERY,14Y,3200 LAKESHORE AV,Oakland,CA,37.8100554,-122.2454436,94610,7.4,1.4,4.7,1.7
711,MOTOR VEHICLE THEFT,2018-02-16 13:27:00,18-008432,VEHICLE THEFT - AUTO,14X,200 GRAND AV,Oakland,CA,37.811469,-122.2612679,94610,7.4,1.4,4.7,1.7
712,ASSAULT,2018-02-16 14:09:00,18-008469,SC ADW - OTHER DANGEROUS WEAPON,14X,GRAND AVE & STATEN AVE,Oakland,CA,37.8087775,-122.2538248,94610,7.4,1.4,4.7,1.7
713,VANDALISM,2018-02-11 22:05:00,18-902818,VANDALISM,16X,1500 TRESTLE GLEN RD,Oakland,CA,37.81017,-122.2250104,94610,7.4,1.4,4.7,1.7
714,ROBBERY,2018-02-18 15:00:00,18-008799,ATTEMPTED ROBBERY-STRONG-ARM,14X,300 GRAND AV,Oakland,CA,37.8093223,-122.2568367,94610,7.4,1.4,4.7,1.7
715,THEFT/LARCENY,2018-02-16 22:00:00,18-008571,BURGLARY-AUTO,17Y,1100 E 28TH ST,Oakland,CA,37.8000212,-122.2366853,94610,7.4,1.4,4.7,1.7
716,VANDALISM,2018-02-12 22:40:00,18-902832,VANDALISM,14X,300 EUCLID AV,Oakland,CA,37.813983,-122.2527935,94610,7.4,1.4,4.7,1.7
717,THEFT/LARCENY,2018-02-14 17:52:00,18-902941,THEFT,16Y,1200 EXCELSIOR AV,Oakland,CA,37.8044994,-122.2317203,94610,7.4,1.4,4.7,1.7
718,THEFT/LARCENY,2018-02-12 16:00:00,18-902837,THEFT,14Y,00 MOSS AV,Oakland,CA,37.8181263,-122.250512,94610,7.4,1.4,4.7,1.7
719,THEFT/LARCENY,2018-02-16 17:55:00,18-008493,BURGLARY-AUTO,16X,3300 LAKESHORE AV,Oakland,CA,37.8104932,-122.2439852,94610,7.4,1.4,4.7,1.7
720,MOTOR VEHICLE THEFT,2018-03-15 14:38:00,18-013420,VEHICLE THEFT - AUTO,22X,2600 MADELINE ST,Oakland,CA,37.8016314,-122.2083008,94602,11.4,1.8,8.0,1.8
721,THEFT/LARCENY,2018-03-15 15:00:00,18-013438,BURGLARY-AUTO,22X,3500 FRUITVALE AV,Oakland,CA,37.8002191,-122.2159381,94602,11.4,1.8,8.0,1.8
722,THEFT/LARCENY,2018-01-17 09:00:00,18-901684,BURGLARY-AUTO,22X,3500 FRUITVALE AV,Oakland,CA,37.8002191,-122.2159381,94602,11.4,1.8,8.0,1.8
723,VANDALISM,2018-01-15 20:47:00,18-901695,VANDALISM,22X,3900 HANLY RD,Oakland,CA,37.8071325,-122.2141772,94602,11.4,1.8,8.0,1.8
724,FRAUD,2018-01-17 22:25:00,18-901704,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,16Y,4500 PARK BLVD,Oakland,CA,37.8086922,-122.218567,94602,11.4,1.8,8.0,1.8
725,VANDALISM,2018-01-15 13:20:00,18-901708,VANDALISM,16Y,4000 WOODRUFF AV,Oakland,CA,37.8047614,-122.2215801,94602,11.4,1.8,8.0,1.8
726,THEFT/LARCENY,2018-01-06 12:20:00,18-901085,BURGLARY-AUTO,22X,3400 DIMOND AV,Oakland,CA,37.799565,-122.217444,94602,11.4,1.8,8.0,1.8
727,ASSAULT,2018-03-09 15:21:00,18-012363,THREAT CRIME:INT:TERRORIZE,22X,2800 MOUNTAIN BLVD,Oakland,CA,37.8122215,-122.1985877,94602,11.4,1.8,8.0,1.8
728,MOTOR VEHICLE THEFT,2018-03-10 09:45:00,18-012458,VEHICLE THEFT - AUTO,22X,3400 CHAMPION ST,Oakland,CA,37.7983243,-122.2154178,94602,11.4,1.8,8.0,1.8
729,ASSAULT,2018-03-09 18:55:00,18-012374,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,22X,1900 ROSECREST DR,Oakland,CA,37.815319,-122.206607,94602,11.4,1.8,8.0,1.8
730,DISTURBING THE PEACE,2018-03-09 14:30:00,18-012340,FIGHT/CHALLENGE FIGHT AT SCHOOL/UNIVERSITY/ETC,22Y,3700 COOLIDGE AV,Oakland,CA,37.7993378,-122.2064993,94602,11.4,1.8,8.0,1.8
731,THEFT/LARCENY,2018-03-03 13:30:00,18-903636,THEFT,22X,3500 FRUITVALE AV,Oakland,CA,37.8002191,-122.2159381,94602,11.4,1.8,8.0,1.8
732,FRAUD,2018-03-02 23:10:00,18-903638,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,21Y,3100 BROOKDALE AV,Oakland,CA,37.7917722,-122.2147885,94602,11.4,1.8,8.0,1.8
733,VANDALISM,2018-03-05 03:00:00,18-903771,VANDALISM,16Y,3400 MORRISON AV,Oakland,CA,37.7996249,-122.2198664,94602,11.4,1.8,8.0,1.8
734,THEFT/LARCENY,2018-03-05 18:30:00,18-903730,BURGLARY-AUTO,21Y,FLAGG AV & HAROLD ST,Oakland,CA,37.7977745,-122.2164079,94602,11.4,1.8,8.0,1.8
735,FRAUD,2018-02-28 14:00:00,18-903633,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,21Y,2100 WOODBINE AV,Oakland,CA,37.7979142,-122.2192307,94602,11.4,1.8,8.0,1.8
736,MOTOR VEHICLE THEFT,2018-02-28 02:45:00,18-903481,ATTEMPT VEHICLE THEFT-AUTO,16Y,3700 GLEN PARK RD,Oakland,CA,37.8024426,-122.2253922,94602,11.4,1.8,8.0,1.8
737,ROBBERY,2018-03-10 02:30:00,18-012429,CARJACKING - STRONGARM,21Y,2700 BROOKDALE AV,Oakland,CA,37.7934207,-122.2203573,94602,11.4,1.8,8.0,1.8
738,MOTOR VEHICLE THEFT,2018-03-15 21:00:00,18-013518,VEHICLE THEFT - AUTO,22X,2700 MONTEREY BLVD,Oakland,CA,37.8150462,-122.2023614,94602,11.4,1.8,8.0,1.8
739,THEFT/LARCENY,2018-01-08 13:25:00,18-901190,GRAND THEFT,22X,3500 FRUITVALE AV,Oakland,CA,37.8002191,-122.2159381,94602,11.4,1.8,8.0,1.8
740,VANDALISM,2018-01-19 13:45:00,18-901808,VANDALISM,22Y,3200 MONTEREY BLVD,Oakland,CA,37.8051959,-122.1925804,94602,11.4,1.8,8.0,1.8
741,DRUGS/ALCOHOL VIOLATIONS,2018-03-16 13:30:00,18-013565,"SIMPLE POSSESSION OF METHAMPHETAMINE, ECSTASY, GHB, LISTED SUBSTANCES",21Y,CHAMPION ST & HAROLD ST,Oakland,CA,37.7975785,-122.2157204,94602,11.4,1.8,8.0,1.8
742,THEFT/LARCENY,2018-01-20 20:30:00,18-901827,BURGLARY-AUTO,16Y,4200 PARK BLVD,Oakland,CA,37.8070989,-122.2224667,94602,11.4,1.8,8.0,1.8
743,THEFT/LARCENY,2018-01-20 23:00:00,18-901828,BURGLARY-AUTO,22Y,3000 ARIZONA ST,Oakland,CA,37.8002225,-122.2019967,94602,11.4,1.8,8.0,1.8
744,THEFT/LARCENY,2018-01-21 02:15:00,18-901830,BURGLARY-AUTO,22X,2200 DAMUTH ST,Oakland,CA,37.8024759,-122.2129079,94602,11.4,1.8,8.0,1.8
745,VANDALISM,2018-01-20 19:45:00,18-901852,VANDALISM,16Y,1200 WELLINGTON ST,Oakland,CA,37.8084079,-122.2228475,94602,11.4,1.8,8.0,1.8
746,THEFT/LARCENY,2018-01-21 07:00:00,18-901856,THEFT,22Y,3200 MADELINE ST,Oakland,CA,37.7976831,-122.2010546,94602,11.4,1.8,8.0,1.8
747,THEFT/LARCENY,2018-01-19 03:03:00,18-901711,BURGLARY-AUTO,22Y,3200 GEORGIA ST,Oakland,CA,37.7956542,-122.203937,94602,11.4,1.8,8.0,1.8
748,ARSON,2018-03-16 19:24:00,18-013610,ARSON: PROPERTY,17Y,1400 E 33RD ST,Oakland,CA,37.8008728,-122.2305339,94602,11.4,1.8,8.0,1.8
749,THEFT/LARCENY,2018-03-06 03:00:00,18-903822,BURGLARY-AUTO,22Y,3000 SYLVAN AV,Oakland,CA,37.8010967,-122.2011315,94602,11.4,1.8,8.0,1.8
750,THEFT/LARCENY,2018-03-06 09:35:00,18-903841,BURGLARY-AUTO,22Y,3600 MAPLE AV,Oakland,CA,37.7973836,-122.2048994,94602,11.4,1.8,8.0,1.8
751,VANDALISM,2018-03-06 00:00:00,18-903842,VANDALISM,22X,3800 COOLIDGE AV,Oakland,CA,37.8001567,-122.2062255,94602,11.4,1.8,8.0,1.8
752,THEFT/LARCENY,2018-03-06 08:05:00,18-903850,THEFT,22Y,3000 KANSAS ST,Oakland,CA,37.7984893,-122.2037804,94602,11.4,1.8,8.0,1.8
753,VANDALISM,2018-03-06 06:45:00,18-903851,VANDALISM,22Y,3600 MAPLE AV,Oakland,CA,37.7973836,-122.2048994,94602,11.4,1.8,8.0,1.8
754,VANDALISM,2018-03-05 22:00:00,18-903852,VANDALISM,22Y,2800 CARMEL ST,Oakland,CA,37.8022576,-122.2048784,94602,11.4,1.8,8.0,1.8
755,THEFT/LARCENY,2018-03-06 05:45:00,18-903854,THEFT,22Y,3600 MAPLE AV,Oakland,CA,37.7973836,-122.2048994,94602,11.4,1.8,8.0,1.8
756,THEFT/LARCENY,2018-03-05 23:10:00,18-903785,BURGLARY-AUTO,22Y,3600 LAUREL AV,Oakland,CA,37.7961417,-122.203311,94602,11.4,1.8,8.0,1.8
757,VANDALISM,2018-02-18 02:01:00,18-008708,VANDALISM,21Y,3000 CAPP ST,Oakland,CA,37.7936927,-122.2162788,94602,11.4,1.8,8.0,1.8
758,BURGLARY,2018-02-18 03:06:00,18-008716,BURGLARY-FORCIBLE ENTRY,17Y,3100 BEAUMONT AV,Oakland,CA,37.7989041,-122.2293832,94602,11.4,1.8,8.0,1.8
759,ASSAULT,2018-02-18 09:15:00,18-008733,BATTERY,77X,3300 14TH AV,Oakland,CA,37.8001212,-122.2275097,94602,11.4,1.8,8.0,1.8
760,MOTOR VEHICLE THEFT,2018-02-17 21:00:00,18-008822,VEHICLE THEFT - AUTO,21Y,3000 CAPP ST,Oakland,CA,37.7936927,-122.2162788,94602,11.4,1.8,8.0,1.8
761,MOTOR VEHICLE THEFT,2018-02-16 09:30:00,18-008393,VEHICLE THEFT - AUTO,21Y,2800 BROOKDALE AV,Oakland,CA,37.7930656,-122.2190545,94602,11.4,1.8,8.0,1.8
762,FRAUD,2018-02-15 22:00:00,18-903013,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,22X,4100 LYMAN RD,Oakland,CA,37.8092414,-122.2111531,94602,11.4,1.8,8.0,1.8
763,THEFT/LARCENY,2018-02-16 02:00:00,18-008395,BURGLARY-AUTO,17Y,1400 E 33RD ST,Oakland,CA,37.8008728,-122.2305339,94602,11.4,1.8,8.0,1.8
764,MOTOR VEHICLE THEFT,2018-02-16 11:07:00,18-008413,VEHICLE THEFT - AUTO,17Y,E 33RD ST & BEAUMONT AV,Oakland,CA,37.8003735,-122.2289141,94602,11.4,1.8,8.0,1.8
765,ROBBERY,2018-02-16 12:00:00,18-008423,ROBBERY/INHABITED DWELLING - FIREARM,18Y,3000 22ND AV,Oakland,CA,37.796748,-122.226551,94602,11.4,1.8,8.0,1.8
766,THEFT/LARCENY,2018-01-16 10:40:00,18-902004,BURGLARY-AUTO,22X,3500 LAGUNA AV,Oakland,CA,37.7990436,-122.210888,94602,11.4,1.8,8.0,1.8
767,MOTOR VEHICLE THEFT,2018-02-09 19:00:00,18-902811,ATTEMPT VEHICLE THEFT-AUTO,22X,3600 DIMOND AV,Oakland,CA,37.80215219999999,-122.2161499,94602,11.4,1.8,8.0,1.8
768,DISTURBING THE PEACE,2018-02-16 14:12:00,18-008463,DISTURB THE PEACE,22X,3600 DIMOND AV,Oakland,CA,37.80215219999999,-122.2161499,94602,11.4,1.8,8.0,1.8
769,VANDALISM,2018-01-15 20:47:00,18-901855,VANDALISM,22X,3900 HANLY RD,Oakland,CA,37.8071325,-122.2141772,94602,11.4,1.8,8.0,1.8
770,BURGLARY,2034-01-01 10:00:00,14-047941,BURGLARY-FORCIBLE ENTRY,31Z,11100 ACALANES DR,Oakland,CA,37.7288609,-122.1728533,94603,23.2,2.5,20.8,2.4
771,MOTOR VEHICLE THEFT,2914-07-02 19:00:00,14-033621,VEHICLE THEFT - AUTO,31Y,300 HUNTER AVE,Oakland,CA,37.7318182,-122.1834875,94603,23.2,2.5,20.8,2.4
772,THEFT/LARCENY,2018-03-15 18:00:00,18-013483,THEFT,31Z,10900 EDES AV,Oakland,CA,37.7314904,-122.1759408,94603,23.2,2.5,20.8,2.4
773,ASSAULT,2018-03-15 17:14:00,18-013449,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,34X,9700 SUNNYSIDE ST,Oakland,CA,37.7485748,-122.1631185,94603,23.2,2.5,20.8,2.4
774,MOTOR VEHICLE THEFT,2018-03-15 08:00:00,18-013306,VEHICLE THEFT - AUTO,32X,1000 100TH AV,Oakland,CA,37.7394513,-122.1751488,94603,23.2,2.5,20.8,2.4
775,MOTOR VEHICLE THEFT,2018-03-15 06:30:00,18-013324,VEHICLE THEFT - AUTO,31Y,300 CLARA ST,Oakland,CA,37.7329017,-122.1883738,94603,23.2,2.5,20.8,2.4
776,DISTURBING THE PEACE,2018-03-09 00:00:00,18-013428,DISTURB THE PEACE,32Y,2000 107TH AV,Oakland,CA,37.7400291,-122.1596314,94603,23.2,2.5,20.8,2.4
777,ASSAULT,2018-03-15 02:45:00,18-013293,BATTERY:SERIOUS BODILY INJ,35X,2300 92ND AV,Oakland,CA,37.7532126,-122.1640757,94603,23.2,2.5,20.8,2.4
778,ASSAULT,2018-03-15 03:10:00,18-013294,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,33X,9600 B ST,Oakland,CA,37.7440727,-122.1746021,94603,23.2,2.5,20.8,2.4
779,ASSAULT,2018-03-15 03:19:00,18-013295,BATTERY,33X,1300 96TH AV,Oakland,CA,37.744924,-122.1730307,94603,23.2,2.5,20.8,2.4
780,MOTOR VEHICLE THEFT,2018-03-15 04:05:00,18-013297,VEHICLE THEFT - AUTO,33X,1300 96TH AV,Oakland,CA,37.744924,-122.1730307,94603,23.2,2.5,20.8,2.4
781,THEFT/LARCENY,2018-01-16 11:20:00,18-901720,THEFT,32X,10100 INTERNATIONAL BLVD,Oakland,CA,37.7421113,-122.1688321,94603,23.2,2.5,20.8,2.4
782,THEFT/LARCENY,2018-01-18 11:18:00,18-901729,BURGLARY-AUTO,32X,10900 INTERNATIONAL BLVD,Oakland,CA,37.7371242,-122.1641183,94603,23.2,2.5,20.8,2.4
783,THEFT/LARCENY,2018-01-14 11:30:00,18-901730,BURGLARY-AUTO,31Y,00 CARY CT,Oakland,CA,37.7353353,-122.1836945,94603,23.2,2.5,20.8,2.4
784,FRAUD,2018-01-19 18:20:00,18-901693,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,32Y,10200 DANTE AV,Oakland,CA,37.7444098,-122.1576854,94603,23.2,2.5,20.8,2.4
