,CrimeType,DateTime,CaseNumber,Description,PoliceBeat,Address,City,State,Lat,Long,Zip
0,MOTOR VEHICLE THEFT,2104-08-08 00:00:00,14-040258,VEHICLE THEFT - AUTO,02X,12TH ST & MANDELA PKWY,Oakland,CA,37.80908470000001,-122.2919421,94607
1,ROBBERY,2030-01-11 19:00:00,14-023460,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",23X,3600 BLK OF INTERNATIONAL BL,Oakland,CA,37.7758827,-122.2218341,94601
2,VANDALISM,2040-02-01 21:40:00,14-035766,"VANDALISM [UNDER $1,000] (AMENDED)",09X,600 FAIRMOUNT AV,Oakland,CA,37.8220053,-122.2539378,94611
3,THEFT/LARCENY,2050-01-03 13:55:00,14-038177,BURGLARY-AUTO,08X,TELEGRAPH AV & W MACARTHUR BLVD,Oakland,CA,37.8263547,-122.2652151,94609
4,FRAUD,2018-02-07 22:15:00,18-902981,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,13Z,00 VISTA DEL MAR CT,Oakland,CA,37.8379578,-122.2055437,94611
5,BURGLARY,2034-01-01 10:00:00,14-047941,BURGLARY-FORCIBLE ENTRY,31Z,11100 ACALANES DR,Oakland,CA,37.7288609,-122.1728533,94603
6,ASSAULT,2019-01-07 18:27:00,14-054853,SC BATTERY,34X,1400 89TH AV,Oakland,CA,37.7503729,-122.1748387,94621
7,VANDALISM,2030-01-08 18:30:00,14-027546,VANDALISM,30X,2500 HAVENSCOURT BLVD,Oakland,CA,37.7666867,-122.1855803,94605
8,VANDALISM,2040-01-01 00:00:00,14-031456,"VANDALISM [UNDER $1,000] (AMENDED)",20X,2600 E 12TH ST,Oakland,CA,37.78014450000001,-122.2323411,94601
9,MOTOR VEHICLE THEFT,2914-07-02 19:00:00,14-033621,VEHICLE THEFT - AUTO,31Y,300 HUNTER AVE,Oakland,CA,37.7318182,-122.1834875,94603
10,SEX CRIMES,2020-01-07 17:00:00,14-018939,SUPV/ETC PROSTITUTION,19X,1700 EMBARCADERO,Oakland,CA,37.7836298,-122.2431482,94606
11,THEFT/LARCENY,2019-04-14 11:00:00,14-019401,BURGLARY-AUTO,12X,300 ORANGE ST,Oakland,CA,37.8159334,-122.2567724,94610
12,THEFT/LARCENY,2018-01-17 13:05:00,18-006602,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,03Y,400 7TH ST,Oakland,CA,37.7990493,-122.2729885,94607
13,DUI,2018-01-17 14:00:00,18-006608,DUI ALCOHOL/DRUGS,03Y,400 7TH ST,Oakland,CA,37.7990493,-122.2729885,94607
14,DUI,2018-01-18 13:00:00,18-006657,DUI ALCOHOL/DRUGS,03Y,400 7TH ST,Oakland,CA,37.7990493,-122.2729885,94607
15,ASSAULT,2018-01-18 13:10:00,18-006663,MISD-INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT/DATNG RELATNSHP,03Y,400 7TH ST,Oakland,CA,37.7990493,-122.2729885,94607
16,DUI,2018-01-18 13:20:00,18-006666,DUI ALCOHOL/DRUGS,03Y,400 7TH ST,Oakland,CA,37.7990493,-122.2729885,94607
17,THEFT/LARCENY,2018-01-05 15:20:00,18-900980,THEFT,12Y,6300 HILLEGASS AV,Oakland,CA,37.8500518,-122.2546033,94618
18,THEFT/LARCENY,2018-01-17 09:00:00,18-901684,BURGLARY-AUTO,22X,3500 FRUITVALE AV,Oakland,CA,37.8002191,-122.2159381,94602
19,THEFT/LARCENY,2018-01-16 07:15:00,18-901685,BURGLARY-AUTO,10X,1000 STANFORD AV,Oakland,CA,37.84297129999999,-122.2784323,94608
20,VANDALISM,2018-01-05 13:00:00,18-900985,VANDALISM,13Y,6600 SKYLINE BLVD,Oakland,CA,37.8492526,-122.202926,94611
21,THEFT/LARCENY,2018-01-19 17:30:00,18-901688,THEFT,12Y,6200 CLAREMONT AV,Oakland,CA,37.8494976,-122.2520285,94618
22,FRAUD,2018-01-19 14:04:00,18-901689,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,13Z,6000 ESTATES DR,Oakland,CA,37.83042200000001,-122.217649,94611
23,VANDALISM,2018-01-19 09:30:00,18-901690,VANDALISM,18Y,2300 21ST AV,Oakland,CA,37.7917509,-122.2326287,94606
24,THEFT/LARCENY,2018-01-18 20:25:00,18-901781,BURGLARY-AUTO,08X,500 23RD ST,Oakland,CA,37.8126097,-122.2688144,94612
25,THEFT/LARCENY,2018-01-18 21:00:00,18-901782,BURGLARY-AUTO,12X,4700 TELEGRAPH AV,Oakland,CA,37.834282,-122.262679,94609
26,THEFT/LARCENY,2018-01-05 19:05:00,18-901109,THEFT,12Y,6200 CLAREMONT AV,Oakland,CA,37.8494976,-122.2520285,94618
27,BURGLARY,2018-01-19 01:00:00,18-901699,BURGLARY-FORCIBLE ENTRY,13Y,700 GRIZZLY TERRACE DR,Oakland,CA,37.8602395,-122.2163646,94611
28,THEFT/LARCENY,2018-01-05 09:00:00,18-901110,BURGLARY-AUTO,08X,2400 NORTHGATE AV,Oakland,CA,37.813801,-122.2704773,94612
29,THEFT/LARCENY,2018-01-19 15:30:00,18-901700,BURGLARY-AUTO,03Y,400 8TH ST,Oakland,CA,37.7997317,-122.2725336,94607
30,THEFT/LARCENY,2018-01-16 18:00:00,18-901790,BURGLARY-AUTO,12X,4700 TELEGRAPH AV,Oakland,CA,37.834282,-122.262679,94609
31,VANDALISM,2018-01-17 16:00:00,18-901791,VANDALISM,15X,200 WAYNE AV,Oakland,CA,37.8012035,-122.252283,94606
32,VANDALISM,2018-01-05 16:30:00,18-900987,VANDALISM,13Z,9200 SKYLINE BLVD,Oakland,CA,37.8249669,-122.1867664,94611
33,FRAUD,2018-01-16 11:38:00,18-901795,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,29X,3900 DELMONT AV,Oakland,CA,37.7762591,-122.1707135,94605
34,THEFT/LARCENY,2018-01-14 03:30:00,18-901692,GRAND THEFT,20X,400 DERBY AV,Oakland,CA,37.7715678,-122.2315944,94601
35,VANDALISM,2018-01-05 12:00:00,18-901036,VANDALISM,13Z,8100 SKYLINE BLVD,Oakland,CA,37.8368442,-122.1865146,94611
36,VANDALISM,2018-01-05 13:07:00,18-901039,VANDALISM,03X,00 10TH ST,Oakland,CA,37.7964495,-122.2598465,94607
37,VANDALISM,2018-01-15 20:47:00,18-901695,VANDALISM,22X,3900 HANLY RD,Oakland,CA,37.8071325,-122.2141772,94602
38,THEFT/LARCENY,2018-01-05 07:30:00,18-901041,THEFT,17Y,2100 7TH AVE,Oakland,CA,37.7988209,-122.2454256,94606
39,VANDALISM,2018-01-05 06:20:00,18-901058,VANDALISM,31Y,8300 EDES AV,Oakland,CA,37.7441243,-122.1952082,94621
40,VANDALISM,2018-01-17 20:20:00,18-901698,VANDALISM,03X,800 WEBSTER ST,Oakland,CA,37.7993315,-122.2711724,94607
41,VANDALISM,2018-01-05 02:00:00,18-901047,VANDALISM,13X,200 FLORENCE AV,Oakland,CA,37.8409714,-122.2305364,94618
42,VANDALISM,2018-01-05 01:00:00,18-901057,VANDALISM,13Z,9100 SKYLINE BLVD,Oakland,CA,37.8266855,-122.1875756,94611
43,THEFT/LARCENY,2018-01-17 19:15:00,18-901701,BURGLARY-AUTO,25X,4200 MACARTHUR BLVD,Oakland,CA,37.7884301,-122.1954016,94619
44,VANDALISM,2018-01-17 18:35:00,18-901702,VANDALISM,08X,2300 WEBSTER ST,Oakland,CA,37.8121116,-122.2650403,94612
45,VANDALISM,2018-01-05 00:00:00,18-901063,VANDALISM,13Z,9300 SKYLINE BLVD,Oakland,CA,37.8232967,-122.1868799,94611
46,FRAUD,2018-01-17 22:25:00,18-901704,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,16Y,4500 PARK BLVD,Oakland,CA,37.8086922,-122.218567,94602
47,BURGLARY,2018-01-08 06:00:00,18-901077,BURGLARY-FORCIBLE ENTRY,12X,400 40TH ST,Oakland,CA,37.8286058,-122.2599187,94609
48,THEFT/LARCENY,2018-01-09 17:25:00,18-901078,THEFT,30Y,8100 UTAH ST,Oakland,CA,37.7654429,-122.1610118,94605
49,THEFT/LARCENY,2018-01-17 19:35:00,18-901705,BURGLARY-AUTO,08X,300 40TH ST,Oakland,CA,37.8276249,-122.2567297,94609
50,THEFT/LARCENY,2018-01-17 11:30:00,18-901706,BURGLARY-AUTO,03X,400 11TH ST,Oakland,CA,37.8022475,-122.2724337,94607
51,THEFT/LARCENY,2018-01-12 19:00:00,18-901707,THEFT,14Y,800 ERIE ST,Oakland,CA,37.8124005,-122.2427073,94610
52,VANDALISM,2018-01-15 13:20:00,18-901708,VANDALISM,16Y,4000 WOODRUFF AV,Oakland,CA,37.8047614,-122.2215801,94602
53,THEFT/LARCENY,2018-01-06 12:20:00,18-901085,BURGLARY-AUTO,22X,3400 DIMOND AV,Oakland,CA,37.799565,-122.217444,94602
54,THEFT/LARCENY,2018-01-17 23:00:00,18-901709,BURGLARY-AUTO,04X,1800 WEBSTER ST,Oakland,CA,37.8064542,-122.2665566,94612
55,VANDALISM,2018-01-17 21:00:00,18-901710,VANDALISM,01X,200 BROADWAY,Oakland,CA,37.7961698,-122.275971,94607
56,VANDALISM,2018-01-06 14:25:00,18-901086,VANDALISM,26X,5400 COLISEUM WY,Oakland,CA,37.760414,-122.2095554,0
57,THEFT/LARCENY,2018-01-15 20:00:00,18-901712,BURGLARY-AUTO,14X,400 LAGUNITAS AV,Oakland,CA,37.8100113,-122.251231,94610
58,THEFT/LARCENY,2018-01-16 11:00:00,18-901713,BURGLARY-AUTO,01X,00 4TH ST,Oakland,CA,37.7928439,-122.2637614,94607
59,THEFT/LARCENY,2018-01-17 22:15:00,18-901715,GRAND THEFT,03X,300 13TH ST,Oakland,CA,37.8024486,-122.2680712,94612
60,VANDALISM,2018-01-18 18:30:00,18-901716,VANDALISM,04X,500 22ND ST,Oakland,CA,37.8110454,-122.2692028,94612
61,THEFT/LARCENY,2018-01-17 04:05:00,18-901717,GRAND THEFT,20X,400 DERBY AV,Oakland,CA,37.7715678,-122.2315944,94601
62,THEFT/LARCENY,2018-01-20 19:30:00,18-901241,GRAND THEFT,09X,4100 PIEDMONT AV,Oakland,CA,37.8267006,-122.2520391,94611
63,THEFT/LARCENY,2018-01-06 14:00:00,18-901087,BURGLARY-AUTO,15X,200 E 18TH ST,Oakland,CA,37.8004308,-122.2534467,94606
64,THEFT/LARCENY,2018-01-18 16:35:00,18-901719,BURGLARY-AUTO,30Y,6900 BANCROFT AV,Oakland,CA,37.7674936,-122.1795052,94605
65,THEFT/LARCENY,2018-01-16 11:20:00,18-901720,THEFT,32X,10100 INTERNATIONAL BLVD,Oakland,CA,37.7421113,-122.1688321,94603
66,VANDALISM,2018-01-17 21:30:00,18-901721,VANDALISM,12X,WEBSTER ST,Oakland,CA,37.8143424,-122.2649907,0
67,DISTURBING THE PEACE,2018-01-17 16:44:00,18-901723,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,20X,2900 INTERNATIONAL BLVD,Oakland,CA,37.7793154,-122.2287609,94601
68,THEFT/LARCENY,2018-01-17 18:30:00,18-901724,THEFT,30X,7800 LOCKWOOD ST,Oakland,CA,37.760556,-122.1785296,94621
69,VANDALISM,2018-01-18 00:00:00,18-901725,VANDALISM,04X,300 15TH ST,Oakland,CA,37.8039087,-122.2670006,94612
70,THEFT/LARCENY,2018-01-18 11:18:00,18-901729,BURGLARY-AUTO,32X,10900 INTERNATIONAL BLVD,Oakland,CA,37.7371242,-122.1641183,94603
71,THEFT/LARCENY,2018-01-14 11:30:00,18-901730,BURGLARY-AUTO,31Y,00 CARY CT,Oakland,CA,37.7353353,-122.1836945,94603
72,THEFT/LARCENY,2018-01-18 11:00:00,18-901732,BURGLARY-AUTO,29X,6400 FOOTHILL BLVD,Oakland,CA,37.7709647,-122.1839618,94605
73,THEFT/LARCENY,2018-01-17 18:45:00,18-901736,BURGLARY-AUTO,03X,7TH ST & WEBSTER ST,Oakland,CA,37.7985795,-122.2717904,94607
74,THEFT/LARCENY,2018-01-17 16:40:00,18-901738,BURGLARY-AUTO,25X,3500 MACARTHUR BLVD,Oakland,CA,37.7937465,-122.2003569,94619
75,THEFT/LARCENY,2018-01-06 14:30:00,18-901088,BURGLARY-AUTO,14X,700 GRAND AV,Oakland,CA,37.8109048,-122.2458688,94610
76,BURGLARY,2018-01-05 14:39:00,18-901089,BURGLARY-FORCIBLE ENTRY,14X,200 EUCLID AV,Oakland,CA,37.8156836,-122.2536016,94610
77,THEFT/LARCENY,2018-01-06 08:00:00,18-901092,THEFT,14X,200 VERNON ST,Oakland,CA,37.81363839999999,-122.2588416,94610
78,THEFT/LARCENY,2018-01-05 14:45:00,18-901099,BURGLARY-AUTO,08X,25TH ST & NORTHGATE AV,Oakland,CA,37.8146654,-122.2702929,94612
79,VANDALISM,2018-01-06 03:00:00,18-901102,VANDALISM,26Y,800 70TH AV,Oakland,CA,37.7551337,-122.1975655,94621
80,THEFT/LARCENY,2018-01-05 13:00:00,18-901094,BURGLARY-AUTO,14X,500 GRAND AV,Oakland,CA,37.808883,-122.251346,94610
81,THEFT/LARCENY,2018-01-06 00:50:00,18-901103,THEFT,35Y,4100 SEACOR CT,Oakland,CA,37.7692541,-122.1536558,94605
82,THEFT/LARCENY,2018-01-20 12:25:00,18-901242,BURGLARY-AUTO,01X,300 WASHINGTON ST,Oakland,CA,37.79702169999999,-122.2768348,94607
83,VANDALISM,2018-01-06 00:35:00,18-901104,VANDALISM,13X,6000 MONROE AV,Oakland,CA,37.8414061,-122.2476974,94618
84,THEFT/LARCENY,2018-01-17 19:00:00,18-901740,GRAND THEFT,03Y,600 12TH ST,Oakland,CA,37.8147679,-122.3084173,0
85,THEFT/LARCENY,2018-01-05 22:00:00,18-901105,THEFT,31X,7000 COLISEUM WY,Oakland,CA,37.7503423,-122.2028058,94621
86,BURGLARY,2018-01-05 14:00:00,18-901106,BURGLARY-FORCIBLE ENTRY,08X,300 OAKLAND AV,Oakland,CA,37.8164192,-122.2573644,94611
87,THEFT/LARCENY,2018-01-20 16:02:00,18-901603,THEFT,02Y,300 HENRY ST,Oakland,CA,37.8031433,-122.2980124,94607
88,DISTURBING THE PEACE,2018-01-06 07:41:00,18-901108,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,29X,3500 65TH AV,Oakland,CA,37.7739451,-122.1769332,94605
89,THEFT/LARCENY,2018-01-06 11:40:00,18-901107,BURGLARY-AUTO,15X,500 MERRITT AV,Oakland,CA,37.8070896,-122.2479271,94610
90,THEFT/LARCENY,2018-01-18 19:00:00,18-901746,BURGLARY-AUTO,08X,400 27TH ST,Oakland,CA,37.8160954,-122.2656722,94612
91,FRAUD,2018-01-19 18:20:00,18-901693,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,32Y,10200 DANTE AV,Oakland,CA,37.7444098,-122.1576854,94603
92,THEFT/LARCENY,2018-01-15 20:00:00,18-901749,THEFT,09X,3500 RICHMOND BLVD,Oakland,CA,37.8211457,-122.2567677,94611
93,THEFT/LARCENY,2018-01-19 07:30:00,18-901696,BURGLARY-AUTO,27X,4500 BOND ST,Oakland,CA,37.7734868,-122.2113434,94601
94,BURGLARY,2018-01-18 11:00:00,18-901753,BURGLARY-FORCIBLE ENTRY,31Y,9600 EDES AV,Oakland,CA,37.7372707,-122.1851147,94603
95,THEFT/LARCENY,2018-01-18 19:25:00,18-901755,BURGLARY-AUTO,08X,500 23RD ST,Oakland,CA,37.8126097,-122.2688144,94612
96,THEFT/LARCENY,2018-01-18 11:12:00,18-901757,THEFT,08X,2300 BROADWAY,Oakland,CA,37.8122473,-122.2657875,94612
97,VANDALISM,2018-01-18 00:15:00,18-901759,VANDALISM,08X,2300 WEBSTER ST,Oakland,CA,37.8121116,-122.2650403,94612
98,THEFT/LARCENY,2018-01-12 18:30:00,18-901760,GRAND THEFT,08X,2400 WEBSTER ST,Oakland,CA,37.8133668,-122.264565,94612
99,THEFT/LARCENY,2018-01-17 23:00:00,18-901761,BURGLARY-AUTO,14X,300 MACARTHUR BLVD,Oakland,CA,37.8145724,-122.2515947,94610
100,THEFT/LARCENY,2018-01-12 19:00:00,18-901762,BURGLARY-AUTO,31X,8300 OAKPORT ST,Oakland,CA,37.7403795,-122.1984166,94621
101,DISTURBING THE PEACE,2018-01-16 15:30:00,18-901763,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,12X,4400 TELEGRAPH AV,Oakland,CA,37.8325471,-122.2632176,94609
102,VANDALISM,2018-01-17 22:00:00,18-901764,VANDALISM,08X,2800 SUMMIT ST,Oakland,CA,37.816503,-122.2648997,94609
103,THEFT/LARCENY,2018-01-16 22:00:00,18-901765,BURGLARY-AUTO,29X,3900 ALTAMONT AV,Oakland,CA,37.7748,-122.169579,94605
104,THEFT/LARCENY,2018-01-07 13:00:00,18-900976,BURGLARY-AUTO,31X,8300 OAKPORT ST,Oakland,CA,37.7403795,-122.1984166,94621
105,THEFT/LARCENY,2018-01-18 02:00:00,18-901767,BURGLARY-AUTO,04X,1500 BROADWAY,Oakland,CA,37.8055388,-122.270001,94612
106,FRAUD,2018-01-19 08:20:00,18-901687,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,14X,400 STATEN AV,Oakland,CA,37.810526,-122.2536179,94610
107,MOTOR VEHICLE THEFT,2018-03-07 08:30:00,18-011967,VEHICLE THEFT - AUTO,13Z,6600 GUNN DR,Oakland,CA,37.8326842,-122.190486,94611
108,VANDALISM,2018-03-07 22:30:00,18-012045,VANDALISM,08X,23RD ST & TELEGRAPH AV,Oakland,CA,37.8126097,-122.2688144,94612
109,MOTOR VEHICLE THEFT,2018-03-07 10:00:00,18-012046,VEHICLE THEFT - AUTO,30X,7900 INTERNATIONAL BLVD,Oakland,CA,37.7568621,-122.1821569,94621
110,ASSAULT,2018-03-07 21:30:00,18-012047,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,10X,5700 LOS ANGELES ST,Oakland,CA,37.841117,-122.2783664,94608
111,MOTOR VEHICLE THEFT,2018-03-07 17:30:00,18-012067,VEHICLE THEFT - AUTO,07X,1400 34TH ST,Oakland,CA,37.825895,-122.2841361,94608
112,MOTOR VEHICLE THEFT,2018-03-07 22:00:00,18-012073,VEHICLE THEFT - AUTO,13X,5600 COUNTRY CLUB DR,Oakland,CA,37.8406899,-122.2418063,94618
113,THEFT/LARCENY,2018-03-07 20:30:00,18-012075,BURGLARY-AUTO,31Y,8400 ENTERPRISE WY,Oakland,CA,37.7442779,-122.1945592,94621
114,ASSAULT,2018-03-07 10:30:00,18-012092,BATTERY,17X,1600 11TH AV,Oakland,CA,37.7926793,-122.2469902,94606
115,MOTOR VEHICLE THEFT,2018-03-07 20:30:00,18-012204,VEHICLE THEFT - AUTO,13Y,600 HILLER DR,Oakland,CA,37.8509547,-122.2282936,94618
116,MOTOR VEHICLE THEFT,2018-03-07 12:14:00,18-012205,VEHICLE THEFT - AUTO,11X,700 ALCATRAZ AV,Oakland,CA,37.8495015,-122.2657579,94609
117,DISTURBING THE PEACE,2018-03-07 21:00:00,18-012107,DISTURB THE PEACE,31Y,8200 SAN LEANDRO ST,Oakland,CA,37.748993,-122.1907008,94621
118,MOTOR VEHICLE THEFT,2018-03-07 23:00:00,18-012109,VEHICLE THEFT - AUTO,02Y,800 PERALTA ST,Oakland,CA,37.807043,-122.2974087,94607
119,THEFT/LARCENY,2018-03-07 19:45:00,18-012118,BURGLARY-AUTO,03Y,10TH ST & CLAY ST,Oakland,CA,37.8025109,-122.2753349,94607
120,ASSAULT,2018-03-07 17:00:00,18-011970,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,11X,500 66TH ST,Oakland,CA,37.8520238,-122.2602561,94609
121,VANDALISM,2018-03-07 15:10:00,18-011973,VANDALISM-$400+,08X,3700 TELEGRAPH AV,Oakland,CA,37.8254716,-122.2651672,94609
122,ROBBERY,2018-03-07 19:47:00,18-012002,ROBBERY-FIREARM,02Y,12TH ST & CAMPBELL ST,Oakland,CA,37.8105996,-122.2963623,94607
123,ROBBERY,2018-03-07 20:08:00,18-012003,ROBBERY-FIREARM,20X,2500 E 12TH ST,Oakland,CA,37.781352,-122.234066,94601
124,ROBBERY,2018-03-07 19:30:00,18-012006,ROBBERY-FIREARM,02Y,1600 10TH ST,Oakland,CA,37.80841849999999,-122.2963131,94607
125,DISTURBING THE PEACE,2018-03-07 00:00:00,18-012022,DISTURB THE PEACE,14X,200 JAYNE AV,Oakland,CA,37.8126417,-122.2571588,94610
126,THEFT/LARCENY,2018-03-07 21:32:00,18-012023,GRAND THEFT,34X,2000 83RD AV,Oakland,CA,37.7583727,-122.1717073,94621
127,THEFT/LARCENY,2018-01-29 19:30:00,18-902398,BURGLARY-AUTO,23X,E 12TH ST & FRUITVALE AV,Oakland,CA,37.7762652,-122.2265264,94601
128,BURGLARY,2018-03-07 21:00:00,18-012024,BURGLARY-FORCIBLE ENTRY,12X,4800 LAWTON AV,Oakland,CA,37.8338954,-122.257275,94609
129,VANDALISM,2018-03-07 16:06:00,18-011976,VANDALISM-$400,17Y,1300 MACARTHUR BLVD,Oakland,CA,37.8022549,-122.2315649,94602
130,DRUGS/ALCOHOL VIOLATIONS,2018-03-07 16:41:00,18-011979,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,04X,1400 MADISON ST,Oakland,CA,37.8015431,-122.2640496,94612
131,THEFT/LARCENY,2018-03-07 17:12:00,18-011981,THEFT,21Y,3200 FOOTHILL BLVD,Oakland,CA,37.7837518,-122.2227823,94601
132,ASSAULT,2018-03-07 10:00:00,18-011983,THREAT CRIME:INT:TERRORIZE,30X,7400 LOCKWOOD ST,Oakland,CA,37.7625177,-122.1803633,94621
133,DRUGS/ALCOHOL VIOLATIONS,2018-03-07 16:50:00,18-011990,POSSESS MARIJUANA/HASHISH FOR SALE,23X,3600 INTERNATIONAL BLVD,Oakland,CA,37.775923,-122.2218018,94601
134,ASSAULT,2018-03-07 17:33:00,18-011992,THREAT CRIME:INT:TERRORIZE,20X,2400 FOOTHILL BLVD,Oakland,CA,37.7847768,-122.2323108,94601
135,DUI,2018-03-07 18:24:00,18-011993,DUI ALCOHOL/DRUGS,21Y,2900 COOLIDGE AV,Oakland,CA,37.7910514,-122.2149751,94602
136,THEFT/LARCENY,2018-03-07 18:40:00,18-011994,GRAND THEFT,30Y,7200 BANCROFT AV,Oakland,CA,37.7681292,-122.1761509,94605
137,ASSAULT,2018-03-07 18:45:00,18-011996,EXHIBIT FIREARM,15X,1700 3RD AV,Oakland,CA,37.7989858,-122.2530176,94606
138,WEAPONS,2018-03-07 18:30:00,18-011998,CARRY CONCEALED WEAPON IN VEHICLE,32X,100TH AV & INTERNATIONAL BLVD,Oakland,CA,37.7425157,-122.1691333,94603
139,MOTOR VEHICLE THEFT,2018-03-07 20:45:00,18-012033,VEHICLE THEFT - AUTO,07X,1000 30TH ST,Oakland,CA,37.8212929,-122.2784668,94608
140,WEAPONS,2018-03-07 22:00:00,18-012034,MISD-ILL USE OF TEAR GAS/TEAR GAS WEAPON,03Y,1200 BROADWAY,Oakland,CA,37.8030442,-122.2717812,94612
141,MOTOR VEHICLE THEFT,2018-03-07 17:00:00,18-012036,VEHICLE THEFT - AUTO,31Z,500 105TH AVE,Oakland,CA,37.7311121,-122.1793456,94603
142,ROBBERY,2018-03-07 09:00:00,18-012044,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",35X,3100 98TH AV,Oakland,CA,37.7527027,-122.1533738,94605
143,ASSAULT,2018-03-07 23:46:00,18-012049,ANYONE WHO WILLFULLY DISCHARGES A FIREARM IN A GROSSLY NEGLIGENT MANNER,27X,5200 YGNACIO AV,Oakland,CA,37.7734954,-122.2029568,94601
144,THEFT/LARCENY,2018-03-07 18:50:00,18-009636,BURGLARY-AUTO,01X,300 CLAY ST,Oakland,CA,37.7976424,-122.2783514,94607
145,ROBBERY,2018-03-07 00:00:00,18-011826,ROBBERY-FIREARM,22Y,3400 MIDVALE AV,Oakland,CA,37.7935399,-122.2026406,94602
146,DISTURBING THE PEACE,2018-03-07 00:31:00,18-011827,DISTURB THE PEACE,31Y,500 98TH AV,Oakland,CA,37.734966,-122.183872,94603
147,ASSAULT,2018-03-07 00:00:00,18-011829,BATTERY,19X,400 EMBARCADERO,Oakland,CA,37.7904678,-122.2606926,94606
148,FRAUD,2017-12-28 13:00:00,18-003010,FRAUD TO OBTAIN AID,03Y,400 7TH ST,Oakland,CA,37.7990493,-122.2729885,94607
149,DRUGS/ALCOHOL VIOLATIONS,2018-03-07 00:37:00,18-011833,DISORDERLY CONDUCT - ALCOHOL,24X,4000 FOOTHILL BLVD,Oakland,CA,37.77780610000001,-122.2150195,94601
150,VANDALISM,2018-02-01 20:00:00,18-902419,VANDALISM,10X,6200 HERZOG ST,Oakland,CA,37.8452956,-122.2827328,94608
151,ASSAULT,2018-03-07 01:20:00,18-011835,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,31X,200 HEGENBERGER RD,Oakland,CA,37.730895,-122.1988156,94621
152,MOTOR VEHICLE THEFT,2018-03-07 01:47:00,18-011836,VEHICLE THEFT - AUTO,19X,100 E 12TH ST,Oakland,CA,37.7981334,-122.2581071,94606
153,FRAUD,2018-01-18 19:44:00,18-902255,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,12Y,6400 BENVENUE AV,Oakland,CA,37.8513193,-122.2532695,94618
154,BURGLARY,2018-03-07 01:55:00,18-011837,BURGLARY-FORCIBLE ENTRY,02Y,300 PERALTA ST,Oakland,CA,37.8035738,-122.3000448,94607
155,THEFT/LARCENY,2018-03-07 01:48:00,18-011844,THEFT,31Z,200 KERWIN AV,Oakland,CA,37.7297948,-122.1831414,94603
156,ASSAULT,2018-03-07 03:48:00,18-011849,INFLICT CRPL INJ SP/COHAB,35Y,3600 MALCOLM AV,Oakland,CA,37.7464043,-122.1392326,94605
157,THEFT/LARCENY,2018-03-07 06:00:00,18-011863,THEFT,26Y,HAVENSCOURT BLVD & INTERNATIONAL BLVD,Oakland,CA,37.7619885,-122.192902,94621
158,DISTURBING THE PEACE,2018-03-07 08:28:00,18-011865,DISTURB THE PEACE,04X,1700 TELEGRAPH AV,Oakland,CA,37.8073866,-122.2701206,94612
159,THEFT/LARCENY,2018-03-07 12:00:00,18-011875,BURGLARY-AUTO,13Z,5700 THORNHILL DR,Oakland,CA,37.8338298,-122.2127586,94611
160,ASSAULT,2018-03-07 08:54:00,18-011886,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,31Y,500 DOUGLAS AV,Oakland,CA,37.73240759999999,-122.181545,94603
161,THEFT/LARCENY,2018-03-07 09:00:00,18-011888,BURGLARY-AUTO,31X,8400 EDGEWATER DR,Oakland,CA,37.7389999,-122.1989043,94621
162,ASSAULT,2018-03-07 09:41:00,18-011893,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,19X,1500 INTERNATIONAL BLVD,Oakland,CA,37.7890587,-122.2449381,94606
163,MOTOR VEHICLE THEFT,2018-03-07 10:27:00,18-011913,VEHICLE THEFT - AUTO,02Y,1300 MIDDLE HARBOR RD,Oakland,CA,37.7989862,-122.2968493,94607
164,MOTOR VEHICLE THEFT,2018-03-07 10:27:00,18-011919,VEHICLE THEFT - AUTO,02Y,1300 MIDDLE HARBOR RD,Oakland,CA,37.7989862,-122.2968493,94607
165,MOTOR VEHICLE THEFT,2018-03-07 07:00:00,18-011921,VEHICLE THEFT - AUTO,13Z,6800 RIDGEWOOD DR,Oakland,CA,37.8360411,-122.1958672,94611
