,CrimeType,DateTime,CaseNumber,Description,PoliceBeat,Address,City,State,Lat,Long,Zip
2378,VANDALISM,2018-01-23 11:28:00,18-004058,MALICIOUSLY DEFACE W/PAINT/ETC,04X,1500 LAKESIDE DR,Oakland,CA,37.80314,-122.2616303,94612
2379,ASSAULT,2018-01-23 11:40:00,18-004062,BATTERY,25X,3400 38TH AV,Oakland,CA,37.7890965,-122.2008288,94619
2380,THEFT/LARCENY,2018-01-17 19:00:00,18-901621,BURGLARY-AUTO,06X,600 W MACARTHUR BLVD,Oakland,CA,37.8272823,-122.267719,94609
2381,ASSAULT,2018-01-23 21:34:00,18-004150,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,21Y,2800 NICOL AV,Oakland,CA,37.7942796,-122.2170365,94602
2382,ROBBERY,2018-01-23 21:30:00,18-004151,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",23X,3900 SAN LEANDRO ST,Oakland,CA,37.7722725,-122.2205891,94601
2383,THEFT/LARCENY,2018-01-17 15:50:00,18-901622,BURGLARY-AUTO,07X,3700 MANDELA PKWY,Oakland,CA,37.8273909,-122.2867855,94608
2384,THEFT/LARCENY,2018-01-23 20:30:00,18-004153,BURGLARY-AUTO,01X,200 CLAY ST,Oakland,CA,37.7970136,-122.2787532,94607
2385,ROBBERY,2018-01-23 21:59:00,18-004154,ROBBERY-OTHER DANGEROUS WEAPON,34X,94TH AV & CHERRY ST,Oakland,CA,37.7492144,-122.1682419,94603
2386,MOTOR VEHICLE THEFT,2018-01-10 20:00:00,18-001879,VEHICLE THEFT - AUTO,18Y,1900 E 25TH ST,Oakland,CA,37.7944851,-122.2333002,94606
2387,THEFT/LARCENY,2018-01-24 09:30:00,18-004311,BURGLARY-AUTO,20X,2900 E. 9TH ST (20X),Oakland,CA,37.77515959999999,-122.2327926,94601
2388,THEFT/LARCENY,2018-03-09 00:44:00,18-012234,THEFT,27Y,6300 INTERNATIONAL BLVD,Oakland,CA,37.76372,-122.1958791,94621
2389,MOTOR VEHICLE THEFT,2018-01-10 22:30:00,18-001882,VEHICLE THEFT - AUTO,30Y,7300 MACARTHUR BLVD,Oakland,CA,37.7690554,-122.1715007,94605
